,Price (EUR/MWhe)
1528432,0.18178087010870903
1528433,0.07549771913465882
1528434,-0.02505208876222659
1528435,-0.05859120894314689
1528436,-0.20103426572610883
1528437,-0.06899287148695143
1528438,-0.08701137698962981
1528439,0.03722071248661422
1528440,-0.03982149418667161
1528441,-0.037680233634702395
1528442,-0.10391933363933041
1528443,-0.008738943666871007
1528444,0.008738943666870901
1528445,0.16221885447676865
1528446,0.1386521875170634
1528447,0.23922496407227192
1528448,0.07362084053736648
1528449,0.02723654423567428
1528450,-0.02918744714674905
1528451,-0.10454717685739795
1528452,-0.024507444549846144
1528453,-0.12991427471530942
1528454,-0.0012658229538299978
1528455,0.09306227545996412
1528456,0.12987014949433565
1528457,0.08667348207173343
1528458,0.006792245933943646
1528459,-0.016911426233446807
1528460,-0.05054416593461826
1528461,-0.0977819615687033
1528462,-0.13794870525097788
1528463,-0.07683604894797724
1528464,-0.05431722127157794
1528465,-0.06628192438444772
1528466,-0.036179656577502356
1528467,-0.08223809823697212
1528468,0.08223809823697201
1528469,0.13747099062860288
1528470,0.27950654185526735
1528471,0.074182296729177
1528472,0.07609587304564627
1528473,0.021991883283100144
1528474,-0.022141125877213518
1528475,-0.06505606797715854
1528476,-0.051142402869882454
1528477,-0.17447314045310597
1528478,0.0
1528479,0.04869511165284505
1528480,0.10357184469591121
1528481,0.06759777240305789
1528482,0.04050153305300367
1528483,-0.029191177516102854
1528484,-0.050351655115782566
1528485,-0.041495495745170655
1528486,-0.18485993811416346
1528487,-0.08407212258141757
1528488,-0.02042995422225835
1528489,-0.06441484294806214
1528490,-0.1132792183138442
1528491,-0.0309448038494216
1528492,0.0
1528493,0.11077440550190647
1528494,0.055949954478380276
1528495,0.029312237995632994
1528496,0.19793413070650956
1528497,0.0954853264901216
1528498,0.008544824856616427
1528499,-0.03175429966114416
1528500,-0.05887852211377272
1528501,-0.15161903290547865
1528502,-0.04757408972848342
1528503,-0.0639509134570226
1528504,0.07364851889500773
1528505,0.19782574332991987
1528506,0.0876710387013424
1528507,-0.005368443060368468
1528508,-0.005921299084232085
1528509,-0.1165828827656152
1528510,-0.10329091086703772
1528511,-0.1439382243628589
1528512,-0.2368077315246296
1528513,-0.19527128580645858
1528514,0.1011705653939723
1528515,-0.09923670286902146
1528516,0.08336615286906562
1528517,0.06436075916039001
1528518,0.01980262729617973
1528519,0.06942850643176293
1528520,0.15762894420358325
1528521,0.053244514518812285
1528522,0.012270092591814401
1528523,-0.01227009259181436
1528524,-0.001482579960222836
1528525,-0.0491611528585321
1528526,-0.10046630695369552
1528527,0.030545361154190185
1528528,0.12056467861826033
1528529,0.30784774204637533
1528530,0.12921173148000625
1528531,0.01880140697537681
1528532,-0.030835246539100428
1528533,-0.060039643635576054
1528534,-0.1325034672299166
1528535,-0.22412250391319394
1528536,-0.07207583357007913
1528537,-0.07966997013126192
1528538,-0.0025681281057102125
1528539,0.017839918128331016
1528540,0.03745962622661795
1528541,0.19823464066426996
1528542,0.2980494312189394
1528543,0.06760942648880543
1528544,0.05738912095828636
1528545,0.012270092591814401
1528546,-0.0030174604402423656
1528547,-0.029351599648468292
1528548,-0.025515416916856663
1528549,-0.06500483030899588
1528550,-0.014379332724342971
1528551,0.03222690028432121
1528552,0.047157262749017596
1528553,0.04779066383634848
1528554,0.030683819938602
1528555,-0.020590006769383183
1528556,-0.03935845578139883
1528557,-0.061707135593546694
1528558,-0.08978578487295157
1528559,-0.10018399275925974
1528560,-0.179944346211634
1528561,-0.05721248104549832
1528562,-0.0271286673882527
1528563,-0.005012541823544398
1528564,0.007509422022131568
1528565,0.14268512964591065
1528566,0.291297151792836
1528567,0.06656627480969453
1528568,0.04925796676527117
1528569,0.014713500203433602
1528570,-0.04081017761144003
1528571,-0.05792332530397739
1528572,-0.05006660846698796
1528573,-0.0979465299883951
1528574,0.0356544005030957
1528575,-0.012689630975998003
1528576,0.0161861380347272
1528577,0.09942671506652023
1528578,0.0419274032392116
1528579,-0.02827477846816656
1528580,-0.050506099384947704
1528581,-0.08231304249721358
1528582,-0.03772663582366173
1528583,-0.23569893596143432
1528584,-0.05680063700631006
1528585,-0.022033940977615286
1528586,0.0
1528587,0.0045466105095959275
1528588,0.0105290518958516
1528589,0.113729388769545
1528590,0.32202866196302304
1528591,0.09281439931187778
1528592,0.03764777193873512
1528593,0.02626582959094571
1528594,-0.03251407485488476
1528595,-0.03139952667479607
1528596,-0.04556151446133236
1528597,-0.08304721669383519
1528598,-0.02436668777583327
1528599,0.02553618085040237
1528600,0.05062518011516155
1528601,0.06304931758610341
1528602,0.029370686795988196
1528603,-0.01311016592420764
1528604,-0.07772379530224899
1528605,-0.08117911648011188
1528606,-0.1768364556231994
1528607,-0.0738397635489287
1528608,-0.05936933669501886
1528609,-0.06236917054549296
1528610,-0.025004459663095554
1528611,-0.018065007397639003
1528612,0.0026007817000574403
1528613,0.14528028511360563
1528614,0.10986517920688493
1528615,0.09331400666485064
1528616,0.09222234092272218
1528617,0.026721035637614767
1528618,-0.09253084261767579
1528619,-0.13841487649977965
1528620,-0.16262748814065722
1528621,-0.09668627697595815
1528622,-0.08626273839011869
1528623,0.08013183820525896
1528624,0.04445176257083401
1528625,0.22956788381592824
1528626,0.05555336777417887
1528627,-0.0827547151770097
1528628,-0.1821126795085998
1528629,-0.10091482898037007
1528630,-0.16707928849919143
1528631,-0.23534083455727148
1528632,-1.118713467989197
1528633,-0.1127197336998367
1528634,0.40167003713961263
1528635,-0.40736805825425043
1528636,0.005698021114637796
1528637,1.2672676546982498
1528638,0.3165610320021576
1528639,0.2161826270647637
1528640,0.14060889416484446
1528641,0.059207629685014466
1528642,-0.039213022354168806
1528643,-0.05254646037487537
1528644,-0.10805704112081477
1528645,-0.21124003813962997
1528646,-0.01991864330651923
1528647,0.06305813596713701
1528648,0.15415067982725836
1528649,0.17435338714477774
1528650,0.03941300235683506
1528651,-0.059615709674354464
1528652,-0.13201650565999168
1528653,-0.11174633285695382
1528654,-0.24919613772907362
1528655,-1.789423409430507
1528656,0.6931471805599453
1528657,0.0
1528658,0.3947411447451887
1528659,0.0
1528660,-0.17801816123390168
1528661,-0.216722983511287
1528662,-0.01005033585350145
1528663,0.5523746266788631
1528664,0.37795846231833097
1528665,0.3500394317237772
1528666,-0.037761923689621404
1528667,-0.3897008073895764
1528668,-0.2440229526995682
1528669,-0.5988365010887039
1528670,0.3947411447451887
1528671,0.0
1528672,0.0
1528673,0.408604828112832
1528674,0.46697621200944905
1528675,0.12592250710558892
1528676,-0.07342275380874157
1528677,-0.0815533490946841
1528678,-0.4334543335315617
1528679,-0.8078142555380713
1528680,-0.35667494393873245
1528681,-0.3364722366212129
1528682,-0.2231435513142097
1528683,0.0
1528684,0.1823215567939546
1528685,0.0408219945202552
1528686,0.3421702577358506
1528687,0.0
1528688,0.11271973369983677
1528689,0.3068499805898697
1528690,-0.06859279146561183
1528691,-0.3509769228240947
1528692,-0.005698021114637779
1528693,-0.10060991289922852
1528694,-0.23586232372198443
1528695,0.21672298351128702
1528696,0.4744221943779852
1528697,1.2004596263084988
1528698,0.4109802887962745
1528699,0.03941300235683506
1528700,-0.039213022354168806
1528701,-0.08793889431067309
1528702,-0.09282418947108444
1528703,0.017338042676124946
1528704,-0.14683896224194504
1528705,-0.04661092059382101
1528706,-0.12007136617439576
1528707,-0.038422063086999546
1528708,0.020872051385347486
1528709,0.2509500631830509
1528710,0.3035001814514763
1528711,0.009372139828863252
1528712,0.04558674445189427
1528713,0.1300270420856013
1528714,-0.020237844857032897
1528715,-0.10978919722856846
1528716,-0.03630162667621479
1528717,-0.20914768215229318
1528718,-0.03006701976502045
1528719,0.03006701976502035
1528720,0.12311045663626376
1528721,0.05601620926117161
1528722,0.211880359035499
1528723,-0.045720446919249015
1528724,-0.13613889586139222
1528725,-0.15245772059258833
1528726,-0.19031900566616644
1528727,-0.1980699137620938
1528728,-0.09274205169861474
1528729,-0.20750540809963408
1528730,-0.1535079374376964
1528731,-0.0010000000833335573
1528732,0.0005001250416823734
1528733,0.2700271372130602
1528734,0.4434127466146475
1528735,0.042447326553423564
1528736,0.25571370129734877
1528737,0.04601575628611007
1528738,-0.03570545422675115
1528739,-0.015962609933148585
1528740,-0.062431885676943695
1528741,-0.18762950774661533
1528742,-0.0009396289157391573
1528743,0.031006648680759506
1528744,0.1520979935095161
1528745,0.06789638014902256
1528746,0.1897903955941422
1528747,-0.06837729744473697
1528748,-0.121230266080151
1528749,-0.054473560162498214
1528750,-0.14384362017337504
1528751,-0.3253881062937787
1528752,-0.1563650639233966
1528753,-0.10291753400668627
1528754,-0.04165567526883251
1528755,-0.0861776962410524
1528756,0.11170398958000126
1528757,0.19845093872383823
1528758,0.4056873056426859
1528759,0.13837965190310655
1528760,0.10216330322640106
1528761,0.018345962799715718
1528762,-0.07493941938162883
1528763,-0.056267215989395235
1528764,-0.18294748592791843
1528765,-0.32996609370558444
1528766,-0.03726312688376355
1528767,0.06559728248581327
1528768,0.10963707242508657
1528769,0.19199486567844828
1528770,0.23921470191731367
1528771,0.03576672428314531
1528772,-0.0981141786767701
1528773,-0.21931457407711233
1528774,-0.25918461155011135
1528775,-0.14640299303643245
1528776,-0.03477635917874519
1528777,-0.4355948495601937
1528778,0.16251892949777494
1528779,-0.16251892949777494
1528780,0.38566248081198473
1528781,0.1823215567939546
1528782,0.3804891220379873
1528783,0.1440421487841153
1528784,0.12169898995009099
1528785,0.021428157020585314
1528786,-0.059706083296065644
1528787,-0.04643359641520464
1528788,-0.11044311872129206
1528789,-0.10065351708724993
1528790,-0.0009396289157391573
1528791,0.031006648680759506
1528792,0.10193702720630554
1528793,0.07909258883721616
1528794,0.14832166542009692
1528795,-0.05076720327541176
1528796,-0.08997866833622746
1528797,-0.10956220251152628
1528798,-0.026668247082161294
1528799,-0.11392562019394366
1528800,-0.20174819469093178
1528801,-0.11220272590036434
1528802,-0.07398041299799053
1528803,0.0
1528804,0.07398041299799048
1528805,0.205543471752327
1528806,0.35269728929567307
1528807,0.022519247724210992
1528808,0.08549479488864542
1528809,0.021738154830951054
1528810,-0.0850281655061329
1528811,-0.03227573841110643
1528812,-0.07207701741135594
1528813,-0.1973411206495348
1528814,-0.00862605471976739
1528815,0.04335344116914285
1528816,0.1414403047702009
1528817,0.07909258883721616
1528818,0.09755446214468515
1528819,-0.03313476935969855
1528820,-0.029118613933643643
1528821,-0.04619672329279488
1528822,-0.039597489871399855
1528823,0.070817507232614
1528824,-0.04165287860537637
1528825,-0.08192185936858008
1528826,-0.07664068773300585
1528827,-0.034498154199107706
1528828,0.034498154199107726
1528829,0.0284932343500497
1528830,0.08274437874463945
1528831,0.017360145304960408
1528832,0.07403649814521464
1528833,0.05090295618242525
1528834,-0.025580502232343618
1528835,-0.017363133819269697
1528836,0.02727937842166209
1528837,-0.04588802852689126
1528838,-0.03575564904773445
1528839,-0.016883007999215223
1528840,0.023093002727986672
1528841,0.16969951021688848
1528842,0.13395987224258998
1528843,-0.07623019303434928
1528844,-0.07834896641097645
1528845,-0.08356278477069083
1528846,-0.03597178392449892
1528847,-0.05442207176713711
1528848,-0.1366529366331588
1528849,-0.07162740489347166
1528850,-0.03555377580984412
1528851,-0.012992158293652887
1528852,0.028562538149178914
1528853,0.0479235564095104
1528854,0.043687244438279364
1528855,-0.043687244438279274
1528856,0.03867241742539003
1528857,0.005014827012889285
1528858,-0.07162740489347166
1528859,-0.1006492730877919
1528860,-0.06069215516104936
1528861,-0.04791511659564691
1528862,-0.20701416938432615
1528863,-0.02285171548909639
1528864,0.016908161588248382
1528865,0.3237236575099085
1528866,0.20541316896559197
1528867,0.10254707965397618
1528868,-0.0119570974211219
1528869,-0.09058998223285437
1528870,-0.1162477792960537
1528871,-0.16967990674083389
1528872,-0.12924195346045483
1528873,-0.145763961060157
1528874,-0.009661910911736859
1528875,0.0003882741264077312
1528876,0.0406977632013798
1528877,0.26124548754676946
1528878,0.4168807571918409
1528879,0.044764270283271325
1528880,0.09435590276124325
1528881,0.023748676306270585
1528882,-0.03583791851470736
1528883,-0.0003332777901203771
1528884,-0.014098924379501648
1528885,-0.0710959216837301
1528886,-0.017207087554849385
1528887,0.02803751832921883
1528888,0.055860943724302635
1528889,0.08132176395671094
1528890,0.24967833643406798
1528891,-0.05578936067386878
1528892,-0.19388897576019912
1528893,-0.07387923975157616
1528894,-0.06330346792943747
1528895,-0.10197506982754487
1528896,-0.02618477899506691
1528897,-0.11310013999690091
1528898,-0.016125666177508654
1528899,-0.0041889751736704
1528900,0.024419550193917488
1528901,0.1275966571047081
1528902,0.26411938015520525
1528903,0.017988289914454014
1528904,0.03663739389871456
1528905,0.02927878487298108
1528906,-0.008665442390293657
1528907,-0.018867125508113255
1528908,-0.030857988359905338
1528909,-0.07453483695366446
1528910,-0.014482394526789377
1528911,0.04612506945049097
1528912,0.0032815093123724002
1528913,0.051386893751143393
1528914,0.050848619363547905
1528915,0.0
1528916,-0.06262486039710058
1528917,-0.07292063159912326
1528918,-0.09839557992098476
1528919,-0.11651581969329453
1528920,-0.053389808516785424
1528921,-0.04288064023661446
1528922,-0.03723237856368678
1528923,-0.031807672749179935
1528924,0.04407219168654416
1528925,0.11662861988835606
1528926,0.3123354874175234
1528927,0.0
1528928,0.0569950738637597
1528929,0.01638816543782203
1528930,-0.014030491507481554
1528931,-0.0023576739303404564
1528932,-0.025738007478399032
1528933,-0.031257066385360646
1528934,0.0002939447405055226
1528935,0.023239971128339743
1528936,-0.002299842899578882
1528937,0.02360746720962548
1528938,0.04882362745184829
1528939,0.03213762682146006
1528940,-0.06617303834607977
1528941,-0.016898663421774783
1528942,-0.034387342309475946
1528943,-0.06784817080521517
1528944,-0.15876348656794292
1528945,-0.08965787193053523
1528946,-0.04290750101127655
1528947,0.0
1528948,0.0
1528949,0.1077584733308928
1528950,0.25723252684949693
1528951,0.022923639901937024
1528952,0.06988010761601894
1528953,0.0
1528954,-0.03357822845666396
1528955,-0.013753483195461033
1528956,-0.022690049055709385
1528957,-0.021333760633756697
1528958,-0.0014482261763647637
1528959,0.009376195628555455
1528960,-0.023533915868845408
1528961,0.05671733465908598
1528962,0.03694783297165446
1528963,0.014352405836227985
1528964,-0.05477850318420739
1528965,-0.029705154413915694
1528966,-0.05231395336817425
1528967,-0.11363130295192109
1528968,-0.18428959380390736
1528969,-0.07994081761282373
1528970,-0.06545137327475481
1528971,-0.01927483824874513
1528972,0.0021600872433656976
1528973,0.08521162846855851
1528974,0.24879155576839743
1528975,-0.007063514595300628
1528976,0.03832926369065252
